ZN=F,ZN=F,ZN=F,ZN=F,ZN=F,ZN=F
Open,High,Low,Close,Adj Close,Volume
132.703125,132.78125,132.0,132.046875,132.046875,1001879
132.09375,132.90625,132.03125,132.53125,132.53125,1188034
132.546875,132.703125,132.171875,132.25,132.25,779593
132.21875,132.640625,131.875,132.0,132.0,1459939
132.0,132.390625,131.828125,132.109375,132.109375,1112006
132.21875,132.484375,132.078125,132.375,132.375,884807
132.421875,132.4375,131.828125,131.953125,131.953125,987238
131.890625,132.3125,131.6875,132.28125,132.28125,946754
132.265625,132.421875,132.046875,132.21875,132.21875,1052529
132.28125,132.359375,132.109375,132.21875,132.21875,1300976
132.1875,132.296875,132.0,132.0625,132.0625,2063603
132.046875,132.4375,131.359375,131.375,131.375,2759059
131.375,132.0,131.296875,131.953125,131.953125,1642229
131.96875,132.03125,131.6875,131.890625,131.890625,986143
131.921875,132.078125,131.71875,131.875,131.875,256770
131.734375,132.015625,131.390625,131.890625,131.890625,191897
131.828125,132.25,131.46875,131.71875,131.71875,51220
131.671875,132.359375,131.5625,132.296875,132.296875,46677
132.328125,132.484375,132.21875,132.296875,132.296875,57778
132.28125,132.359375,131.625,131.671875,131.671875,23808
131.765625,131.828125,131.265625,131.3125,131.3125,25620
131.25,131.578125,131.15625,131.453125,131.453125,7411
131.5,131.734375,130.8125,130.96875,130.96875,31255
131.03125,131.46875,131.03125,131.4375,131.4375,38703
131.375,131.71875,131.171875,131.453125,131.453125,12250
131.578125,131.796875,131.390625,131.40625,131.40625,3162
131.53125,131.5625,131.3125,131.421875,131.421875,6928
131.328125,131.65625,131.328125,131.484375,131.484375,12474
131.421875,131.5625,131.1875,131.375,131.375,1115107
130.703125,131.09375,130.65625,130.859375,130.859375,1077100
130.921875,131.078125,130.859375,131.03125,131.03125,719773
131.0625,131.453125,131.0,131.3125,131.3125,828179
131.359375,131.671875,131.140625,131.53125,131.53125,1172225
131.515625,131.625,131.328125,131.4375,131.4375,1073897
131.375,131.671875,131.171875,131.546875,131.546875,1165988
131.5,131.734375,131.0625,131.125,131.125,1671048
131.21875,131.234375,130.90625,130.953125,130.953125,775029
130.921875,131.03125,130.4375,130.5,130.5,1402205
130.46875,130.609375,130.09375,130.21875,130.21875,1209515
130.234375,130.390625,129.9375,129.953125,129.953125,1299055
130.0,130.21875,129.71875,130.0625,130.0625,1494095
129.8125,130.03125,129.6875,129.890625,129.890625,1116008
129.84375,129.90625,129.53125,129.8125,129.8125,1217196
129.890625,130.265625,129.875,130.1875,130.1875,1124596
130.140625,130.21875,129.765625,129.859375,129.859375,1219283
129.796875,130.203125,129.703125,130.125,130.125,838456
130.140625,130.359375,129.984375,130.296875,130.296875,1116022
130.359375,130.453125,130.125,130.265625,130.265625,970174
130.3125,130.484375,130.125,130.28125,130.28125,1068248
130.1875,130.40625,130.140625,130.34375,130.34375,746958
130.359375,130.484375,130.078125,130.171875,130.171875,807829
130.140625,130.3125,129.9375,130.171875,130.171875,1041362
130.1875,130.296875,129.859375,129.9375,129.9375,1048754
129.890625,129.90625,129.296875,129.515625,129.515625,1582265
129.421875,129.671875,129.203125,129.546875,129.546875,1390479
129.59375,129.71875,129.484375,129.625,129.625,1087201
129.671875,129.90625,129.265625,129.796875,129.796875,1469591
129.734375,130.265625,129.71875,130.03125,130.03125,1480569
130.0,130.3125,129.796875,130.03125,130.03125,1078686
130.015625,130.375,129.9375,130.25,130.25,1336051
129.859375,130.0,129.765625,129.84375,129.84375,788423
